,confer_num,confer_name,date,hwpLink,summary
0,050024,국회본회의_제379회_제1차,2020-06-05,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050024&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050024
1,050025,국회본회의_제379회_제2차,2020-06-08,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050025&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050025
2,050026,국회본회의_제379회_제4차,2020-06-12,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050026&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050026
3,050027,국회본회의_제379회_제3차,2020-06-10,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050027&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050027
4,050028,국회본회의_제379회_제5차,2020-06-15,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050028&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050028
5,050029,국회본회의_제379회_제6차,2020-06-29,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050029&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050029
6,050051,국회본회의_제379회_제7차,2020-07-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050051&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050051
7,050057,국회본회의_제380회_제1차,2020-07-16,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050057&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050057
8,050058,국회본회의_제380회_제0차,2020-07-16,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050058&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050058
9,050060,국회본회의_제380회_제2차,2020-07-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050060&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050060
10,050063,국회본회의_제380회_제3차,2020-07-21,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050063&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050063
11,050065,국회본회의_제380회_제4차,2020-07-22,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050065&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050065
12,050067,국회본회의_제380회_제5차,2020-07-23,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050067&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050067
13,050070,국회본회의_제380회_제6차,2020-07-24,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050070&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050070
14,050081,국회본회의_제380회_제7차,2020-07-30,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050081&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050081
15,050098,국회본회의_제380회_제8차,2020-08-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050098&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050098
16,050130,국회본회의_제382회_제1차,2020-09-01,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050130&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050130
17,050131,국회본회의_제382회_제0차,2020-09-01,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050131&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050131
18,050157,국회본회의_제382회_제2차,2020-09-07,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050157&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050157
19,050166,국회본회의_제382회_제3차,2020-09-08,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050166&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050166
20,050185,국회본회의_제382회_제4차,2020-09-14,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050185&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050185
21,050187,국회본회의_제382회_제5차,2020-09-15,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050187&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050187
22,050196,국회본회의_제382회_제6차,2020-09-16,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050196&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050196
23,050202,국회본회의_제382회_제7차,2020-09-17,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050202&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050202
24,050228,국회본회의_제382회_제8차,2020-09-22,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050228&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050228
25,050246,국회본회의_제382회_제9차,2020-09-24,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050246&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050246
26,050326,국회본회의_제382회_제10,2020-10-28,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050326&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050326
27,050331,국회본회의_제382회_제11,2020-10-29,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050331&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050331
28,050480,국회본회의_제382회_제12,2020-11-19,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050480&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050480
29,050574,국회본회의_제382회_제13,2020-12-01,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050574&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050574
30,050596,국회본회의_제382회_제14,2020-12-02,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050596&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050596
31,050655,국회본회의_제382회_제15,2020-12-09,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050655&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050655
32,050660,국회본회의_제383회_제1차,2020-12-10,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050660&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050660
33,050719,국회본회의_제383회_제2차,2021-01-08,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050719&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050719
34,050743,국회본회의_제384회_제0차,2021-02-01,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050743&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050743
35,050744,국회본회의_제384회_제1차,2021-02-01,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050744&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050744
36,050745,국회본회의_제384회_제2차,2021-02-02,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050745&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050745
37,050747,국회본회의_제384회_제3차,2021-02-03,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050747&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050747
38,050752,국회본회의_제384회_제4차,2021-02-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050752&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050752
39,050755,국회본회의_제384회_제5차,2021-02-05,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=050755&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=050755
